,Murder     and non- negligent man- slaughter,Forcible rape,Robbery,Aggra- vated assault,Burglary,Larceny- theft,Motor vehicle theft,Total
ALABAMA,374,"1,564","6,447","11,293","43,473","120,780","13,140","197,071"
Auburn city,1,18,52,83,464,"1,639",69,"2,326"
Bessemer city,3,24,234,294,903,"2,336",292,"4,086"
Birmingham city,104,241,"1,429","1,675","4,933","11,962","2,028","22,372"
Decatur city,1,12,62,125,742,"3,035",217,"4,194"
Dothan city,8,57,156,112,760,"2,617",155,"3,865"
Florence city,5,23,63,132,410,"1,297",56,"1,986"
Gadsden city,6,46,146,117,663,"2,243",214,"3,435"
Homewood city,(NA),(NA),(NA),(NA),(NA),(NA),(NA),0
Hoover city,(NA),(NA),(NA),(NA),(NA),(NA),(NA),0
Huntsville city,22,88,500,610,"2,446","7,979","1,088","12,733"
Madison city,(NA),(NA),(NA),(NA),(NA),(NA),(NA),0
Mobile city,35,74,597,459,"3,832","9,396","1,121","15,514"
Montgomery city,29,109,847,656,"3,528","8,449","1,020","14,638"
Phenix City city,(NA),(NA),(NA),(NA),(NA),(NA),(NA),0
Prattville city, -,9,22,56,226,978,72,"1,363"
Prichard city,8,7,37,51,193,407,137,840
Tuscaloosa city,7,39,200,258,"1,191","3,582",260,"5,537"
Vestavia Hills city, -,4,11,16,93,151,23,298
ALASKA,32,538,537,"3,087","4,131","17,249","2,595","28,169"
Anchorage municipality,16,224,384,"1,407","1,783","8,248","1,334","13,396"
Fairbanks city,2,47,65,192,227,"1,155",205,"1,893"
Juneau city and borough, -,30,14,91,125,"1,124",47,"1,431"
ARIZONA,445,"2,006","8,579","19,448","56,328","176,112","54,905","317,823"
Apache Junction city,1,14,6,93,385,986,234,"1,719"
Avondale city,(NA),(NA),(NA),(NA),(NA),(NA),(NA),0
Bullhead City city, -,4,30,138,498,"1,454",259,"2,383"
Casa Grande city,3,4,53,206,"1,208","1,761",368,"3,603"
Chandler city,8,54,200,564,"1,439","5,684","1,200","9,149"
Flagstaff city,1,48,62,418,511,"3,560",206,"4,806"
Gilbert town, -,27,35,153,975,"3,057",423,"4,670"
Glendale city,19,84,393,913,"3,332","5,980","3,101","13,822"
Lake Havasu City city,3,17,11,111,315,"1,345",182,"1,984"
Mesa city,29,194,460,"1,597","3,560","16,263","4,248","26,351"
Oro Valley town, -,3,4,17,134,644,69,871
Peoria city,1,38,69,181,"1,127","3,710","1,147","6,273"
Phoenix city,220,533,"4,237","5,701","16,255","52,537","24,536","104,019"
Prescott city, -,12,22,109,386,"1,365",127,"2,021"
