,,Total,Murder               \4,Rape,Robbery,Assault,,,,,
     United States,,466.9,5.6,30.0,147.6,283.8,,,,,
Alabama,,448.0,8.9,33.4,159.9,245.8,,,,,
Alaska,,661.2,6.4,77.4,85.3,492.0,,,,,
Arizona,,482.7,7.4,29.3,151.7,294.3,,,,,
Arkansas,,529.4,6.7,44.7,106.7,371.2,,,,,
California,,522.6,6.2,24.7,193.0,298.8,,,,,
Colorado,,347.8,3.1,41.1,71.0,232.5,,,,,
Connecticut,,256.0,3.0,18.8,103.0,131.2,,,,,
Delaware \5,,689.2,4.3,38.9,197.3,448.8,,,,,
District of Columbia \6,,"1,414.3",30.8,32.6,724.3,626.6,,,,,
Florida,,722.6,6.6,33.7,209.1,473.2,,,,,
Georgia,,493.2,7.5,22.8,181.7,281.2,,,,,
Hawaii,,272.8,1.7,25.4,86.1,159.6,,,,,
Idaho,,239.4,3.3,38.5,15.5,182.0,,,,,
"Illinois \5, \7",,533.2,5.9,31.9,179.7,315.7,,,,,
Indiana,,333.6,5.6,27.5,124.1,176.4,,,,,
Iowa,,294.7,1.2,30.3,43.9,219.2,,,,,
Kansas \7,,452.7,3.9,44.3,72.6,331.8,,,,,
Kentucky \7,,295.0,4.8,32.6,95.9,161.7,,,,,
Louisiana,,729.5,14.2,32.4,141.7,541.2,,,,,
Maine,,118.0,1.6,29.7,26.5,60.2,,,,,
Maryland,,641.9,9.8,21.0,236.0,375.1,,,,,
Massachusetts,,431.5,2.9,25.3,108.6,294.7,,,,,
Michigan,,536.0,6.7,45.5,133.2,350.7,,,,,
Minnesota \5,,288.7,2.2,36.0,91.8,158.6,,,,,
Mississippi,,291.3,7.1,35.6,98.2,150.3,,,,,
Missouri,,504.9,6.5,29.2,121.9,347.3,,,,,
Montana \7,,287.5,1.5,30.3,19.9,235.8,,,,,
Nebraska,,302.4,3.8,29.7,62.4,206.5,,,,,
Nevada,,750.6,7.5,42.7,270.2,430.2,,,,,
New Hampshire,,137.3,1.1,25.3,32.8,78.0,,,,,
New Jersey,,329.3,4.4,12.1,144.5,168.3,,,,,
New Mexico,,664.2,8.2,52.4,117.8,485.8,,,,,
New York,,414.1,4.2,15.2,161.1,233.7,,,,,
North Carolina,,466.4,6.5,26.3,149.5,284.1,,,,,
North Dakota,,142.4,1.9,32.4,10.9,97.2,,,,,
Ohio,,343.2,4.5,38.8,159.2,140.7,,,,,
Oklahoma,,499.6,6.1,43.1,93.2,357.1,,,,,
Oregon,,287.6,1.9,33.5,76.4,175.8,,,,,
Pennsylvania,,416.5,5.8,27.7,156.5,226.4,,,,,
Rhode Island,,227.3,1.8,24.2,71.0,130.3,,,,,
South Carolina,,788.3,8.0,39.5,144.0,596.9,,,,,
South Dakota,,169.2,2.1,38.7,14.1,114.3,,,,,
Tennessee,,753.3,6.4,35.3,179.0,532.5,,,,,
Texas,,510.6,5.9,35.3,162.2,307.2,,,,,
Utah,,234.8,2.2,34.3,53.7,144.6,,,,,
Vermont,,124.3,1.9,19.8,12.9,89.7,,,,,
Virginia,,269.7,5.3,22.6,99.2,142.6,,,,,
Washington,,333.1,2.7,40.6,93.6,196.2,,,,,
West Virginia,,275.2,3.5,20.4,47.0,204.3,,,,,
Wisconsin,,290.9,3.3,21.8,97.7,168.1,,,,,
Wyoming,,239.3,3.1,30.6,16.1,189.5,,,,,
